station_code	soil_code	locality	sexe	nivins	langues	perschar	nbract	actprin	actsec1	actsec2	actsec3	bovins	ovins	caprins	asins	porcins	volailles	charrue	daba_houe	charrette	pulve	rayon	semoir	tricyc	suptot	supasso	prctsasso	typass	pluvio4	pluvio5	pluvio6	pluvio7	pluvio8	pluvio9	pluvio10	dismai	Argil	limon	sable	granuloc	tysopa	pHeau	MO	Nto	Kto	Pto	precul2014	precul2015	precul2016	typrot	varsorgh	varnieb	pracul	modsem	FO_Qte	FO_date	denpoq	datesem	freqsar	NPK_date	NPK_qte	uree_date	uree_qte	rdtsor	rdtnieb
BU_TS	BU_TS_06	Tingressene	1	0	1	10	2	1	2	0	0	3	9	11	1	0	3	2	6	1	0	0	0	0	7	4	57.1	1	0	149	206	127.5	100.5	166	32	3500	24.1	33	42.9	2	3	6	2.1	1.2	1269	230	3	3	3	5	2	1	5	2	3	56	27778	18	2	0	0	0	0	1228.13	NA
BU_TS	BU_TS_07	Tingressene	1	1	2	11	4	1	2	0	0	0	0	2	2	0	7	1	5	1	0	0	0	0	3	2	66.7	1	0	149	206	127.5	100.5	166	32	25	19.4	24.1	56.4	5	5	7	0.8	0.4	507	NA	3	3	3	5	16	1	5	2	2	31	27778	32	3	18	125	0	0	53.13	281.25
BU_TS	BU_TS_08	Tingressene	2	0	1	50	30	1	2	0	0	3	16	0	1	0	12	1	10	1	0	0	0	0	NA	NA	NA	NA	0	149	206	127.5	100.5	166	32	200	20.4	20.4	59.2	4	2	6.1	1.2	0.4	382	NA	3	5	3	4	2	1	3	2	1	16	41667	34	2	0	0	0	0	256.25	440.63
BU_TS	BU_TS_09	Tingressene	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	80	1	0	149	206	127.5	100.5	166	32	200	22.8	28.7	48.6	2	4	8.3	0.8	0.4	381	193	3	3	3	5	16	2	6	2	0	0	27778	45	2	0	0	0	0	218.75	NA
BU_TS	BU_TS_10	Tingressene	1	0	1	20	0	1	2	0	0	0	5	9	2	0	20	2	12	2	1	0	0	0	4.5	3.5	77.8	1	0	149	206	127.5	100.5	166	32	50	5.5	14.6	79.9	7	2	8.1	0.9	0.6	382	165	3	3	3	5	16	1	6	2	2	18	20833	20	3	34	187.5	0	0	303.13	112.5
BU_TS	BU_TS_11	Tingressene	1	0	1	17	10	1	2	0	0	1	4	6	2	0	0	1	11	0	0	0	0	0	3.5	2.5	71.4	1	0	149	206	127.5	100.5	166	32	500	3.4	10.1	86.6	6	1	7.1	0.7	0.4	765	248	3	3	3	5	2	1	6	2	3	24	20833	34	3	0	0	0	0	668.75	190.63
BU_TS	BU_TS_12	Tingressene	2	0	1	12	8	1	2	3	0	1	5	3	1	0	3	2	10	1	0	0	0	0	6	4	66.7	1	0	149	206	127.5	100.5	166	32	350	17.1	23.9	59.1	5	1	6.3	1	0.5	255	248	3	3	5	4	16	1	3	2	1	58	23810	36	2	0	125	0	0	190.63	156.25
BU_TS	BU_TS_13	Tingressene	1	0	1	20	13	1	2	0	0	4	40	42	0	0	50	2	10	1	1	1	0	0	4	2.5	62.5	1	0	149	206	127.5	100.5	166	32	300	5.5	18	76.5	7	2	6.4	1.2	0.6	380	230	5	3	5	10	16	1	6	2	3	63	20833	38	3	21	125	0	0	1631.25	81.25
BU_TS	BU_TS_14	Tingressene	2	1	2	9	5	1	2	0	0	4	0	13	1	0	20	1	5	1	1	1	0	0	3	2	66.7	1	0	149	206	127.5	100.5	166	32	50	3.3	6.7	90	6	5	5.9	0.3	0.2	127	NA	3	3	3	5	2	1	6	2	1	58	20833	25	3	16	312.5	33	187.5	937.5	159.38
BU_TS	BU_TS_15	Tingressene	1	0	1	30	20	1	2	4	0	1	10	5	1	0	10	1	20	2	1	0	0	0	3	2	66.7	1	0	149	206	127.5	100.5	166	32	100	2.1	13.4	84.5	7	5	6.4	1	0.5	255	NA	3	3	3	5	16	1	6	2	1	67	20833	37	3	24	218.8	0	0	1368.75	156.25
